Group	p.adj
R175H-Null	0.994215297469194
R248Q-Null	0.987797445583281
R273H-Null	0.952589825213816
WildType-Null	0.999951879673561
R248Q-R175H	0.999998964105
R273H-R175H	0.998000542880614
WildType-R175H	0.991945615693497
R273H-R248Q	0.997717177948279
WildType-R248Q	0.966834390298015
WildType-R273H	0.85742210300435
