Group	p.adj
R175H-Null	0.713773233897975
R248Q-Null	0.352713667323723
R273H-Null	0.129900669089823
WildType-Null	0.959857588811743
R248Q-R175H	0.987723799842496
R273H-R175H	0.797586735317768
WildType-R175H	0.856789559623708
R273H-R248Q	0.942170797161674
WildType-R248Q	0.2752296054437
WildType-R273H	0.0467279730478338
