Group	p.adj
R175H-Null	0.983041247050882
R248Q-Null	0.999984309534957
R273H-Null	0.991694618512456
WildType-Null	0.969446389641826
R248Q-R175H	0.977719447939712
R273H-R175H	0.999836828654824
WildType-R175H	0.99999989856517
R273H-R248Q	0.988775574990608
WildType-R248Q	0.929316698464541
WildType-R273H	0.99964852670224
