Group	p.adj
R175H-Null	0.918251649545665
R248Q-Null	0.996562672619562
R273H-Null	0.931255351368111
WildType-Null	0.932842275445272
R248Q-R175H	0.964596364740641
R273H-R175H	0.999917080325838
WildType-R175H	0.220665921642167
R273H-R248Q	0.973933218039908
WildType-R248Q	0.395605348492716
WildType-R273H	0.121436799402587
