Group	p.adj
R175H-Null	0.940210807867291
R248Q-Null	0.998855600470151
R273H-Null	0.980296977527325
WildType-Null	0.990481306324699
R248Q-R175H	0.707495047598571
R273H-R175H	0.511066149349073
WildType-R175H	0.483632913917375
R273H-R248Q	0.994332297502868
WildType-R248Q	0.999024531666408
WildType-R273H	0.999380339133718
