Group	p.adj
R175H-Null	0.999999999603096
R248Q-Null	0.915719138435737
R273H-Null	0.0881020662590383
WildType-Null	0.926219540211367
R248Q-R175H	0.875275130007082
R273H-R175H	0.0384377227009995
WildType-R175H	0.880252839365114
R273H-R248Q	0.146829308893775
WildType-R248Q	0.999843972639739
WildType-R273H	0.0374351902690946
