CELL LINES

COR-L24
HSC-3
KMS-11
C2BBe1
COR-L311
HCC-33
5637
COR-L279
DMS_53
JHOS-2
COR-L88
Daoy
CHP-212
DMS_79
Hs_746T
EFO-27
DMS_454
COLO_668
AGS
HCC1143
DMS_153
DMS_273
DMS_114
HCC-15
ESS-1
FU97
Calu-1
KATO_III
DB
G-401
HCT_116
G-361
HEL_92.1.7
KNS-62
HARA
786-O
HCC1954
CAL_27
KYSE-180
A549
IGR-37
KYSE-410
22Rv1
HCC-44
23132_87
DU_145
HCT-15
MKN74
NCI-H2052
NCI-H1092
MSTO-211H
NCI-H2286
NCI-H1694
NCI-H524
NCI-H1184
NCI-H1299
NCI-H510
NCI-H1963
NCI-H661
NCI-H2227
MKN7
NCI-H1437
NCI-H1666
NCI-H1341
KYSE-450
NCI-H82
NCI-H526
NCI-H747
NCI-H2171
NCI-H1436
NCI-H2066
NCI-H522
NCI-H209
NCI-H146
NCI-H2029
NCI-H1618
NCI-H1930
NCI-H69
NCI-H1048
MM1-S
NCI-H1876
NCI-H1105
NCI-H650
NCI-H2170
MKN-45
MFE-296
NCI-H1651
NCI-H211
K-562
NCI-H2081
NCI-H1650
NCI-H196
NCI-H2196
KALS-1
GB-1
NCI-H660
A172
CAL-51
LAMA-84
EJM
IGROV1
NALM-6
FU-OV-1
KMS-12-BM
COV318
NCI-H1792
HCC70
C32
MONO-MAC-1
GMS-10
CFPAC-1
OAW42
COV362
BT-20
LP-1
HCC827
KNS-81
HPAC
NCI-H23
KNS-60
LN-229
HL-60
COLO-783
KM12
NCI-H838
LoVo
NOMO-1
CAL-120
MONO-MAC-6
JHOC-5
AM-38
JHOM-1
NCI-H508
A-673
KMS-20
Caov-4
Hey-A8
KP-2
DK-MG
HEC-1-A
HLF
JHOS-4
L-363
NIH_OVCAR-3
697
NCI-H2452
HPAF-II
NCI-N87
Hs_683
EFM-19
L3.3
COV434
CAS-1
Hs_766T
HCC1187
A-204
NCI-H716
A2058
OCI-AML2
NB-4
MIA_PaCa-2
BxPC-3
Caov-3
HT-1197
F-36P
NUGC-3
GP2d
LS411N
KMS-26
BT-474
ACHN
AsPC-1
KMS-34
EFE-184
Hs_944.T
KP4
DBTRG-05MG
AML-193
HCC1395
JJN-3
NCI-H889
LK-2
NCI-H1975
KURAMOCHI
SK-MM-2
SW480
SNU-387
A-704
SNU-1105
SNU-201
SK-OV-3
SU.86.86
8505C
8305C
SW_1990
SNU-475
AMO-1
PC-3
UACC-257
SNU-423
TCCSUP
OV7
Panc_03.27
SCC-4
SF126
769-P
SNU-C2A
RERF-GC-1B
SW_1271
SJSA-1
A101D
RPMI_8226
RMG-I
RMUG-S
SEM
A-498
647-V
BC-3C
OCI-AML3
SCLC-21H
SNU-840
ACC-MESO-1
A4_Fuk
THP-1
Panc_08.13
SK-MEL-30
ONS-76
SK-MES-1
SW_900
SW579
59M
AU565
Reh
T98G
OV-90
U-87_MG
U-2_OS
SW_1783
OVCAR-8
TE-15
OCI-AML5
AN3_CA
SHP-77
PLC_PRF_5
OVCAR-4
OPM-2
RT-112
SNG-M
SW1417
TOV-21G
SK-HEP-1
RKN
TE-11
42-MG-BA
TYK-nu
OCUM-1
A-253
TE-9
639-V
OVSAHO
ZR-75-30
OVMANA
TC-71
RERF-LC-MS
SK-LMS-1
TOV-112D
SBC-5
OE33
253J-BV
ALL-SIL
T24
RS4_11
SK-CO-1
Panc_10.05
PC-14
SCC-25
A3_KAW
253J
EKVX
BICR_56
BT-483
D341_Med
FTC-238
HCC-1359
HCC-1438
HCC-1588
HCC-1833
ES-2
CHP-126
GAMG
HCC1428
BFTC-905
COLO-679
DV-90
GI-1
BICR_18
ChaGo-K-1
HCC1806
DEL
G-402
B-CPAP
BEN
HCC1500
Calu-3
EM-2
Capan-1
EN
EBC-1
Calu-6
GCT
CAL-85-1
FTC-133
Capan-2
BL-70
CAMA-1
GRANTA-519
Caki-2
H4
CAL-12T
COR-L95
HCC-1171
COLO_829
CW-2
BICR_22
CML-T1
BICR_16
G-292_clone_A141B1
BV-173
CCF-STTG1
CJM
ECC10
EC-GI-10
Daudi
GA-10
D283_Med
EFM-192A
COLO-800
GOS-3
BCP-1
CA46
HCC1599
CADO-ES1
CL-14
CL-11
CL-34
CAL-148
BHT-101
BFTC-909
COLO-320
Detroit_562
HCC1569
CI-1
COLO_684
COR-L105
BL-41
DOHH-2
COLO_792
COLO_201
EHEB
CAL-54
EOL-1
CAL-33
CL-40
BHY
COLO-678
BICR_31
BICR_6
GDM-1
CAL-29
CMK
HCC-1195
ECC12
SK-LU-1
SNU-398
PE_CA-PJ15
RL95-2
SNU-478
SK-N-AS
SIG-M5
SNU-738
SK-N-DZ
SNU-520
SNU-489
SK-MEL-1
SNU-1077
SNU-1196
SNU-601
SK-ES-1
SNU-503
SNU-61
Pfeiffer
SNU-324
SNU-245
RCC10RGB
RPMI-8402
SNU-761
PK-59
RH-41
PK-45H
SK-MEL-3
SCC-15
SNU-308
SIMA
S-117
SH-4
PF-382
SK-MEL-24
SK-UT-1
SNU-620
PE_CA-PJ34__clone_C12_
SNU-685
RERF-LC-Sq1
SNU-719
SK-BR-3
SNU-213
SNU-1079
SNU-216
SNU-410
REC-1
RCH-ACV
PEER
SK-N-BE_2_
SNU-668
RCM-1
SNU-466
RH-30
RERF-LC-KJ
SNU-1040
SNU-5
RERF-LC-Ad1
SKM-1
PE_CA-PJ49
SNU-1214
SNU-449
Saos-2
PE_CA-PJ41__clone_D2_
SK-MEL-28
SK-MEL-31
SK-N-FI
Raji
SCC-9
RI-1
SNU-1076
SK-N-MC
RD-ES
SNU-1272
SNU-182
RERF-LC-AI
RPMI-7951
SNU-1197
PL-21
SNU-1033
SNU-1041
SNU-1066
SNU-8
RD
RS-5
SCaBER
RH-18
SNU-349
SNU-626
RERF-LC-Ad2
SF539
SNB75
SF268
SNU-119
JK-1
M059K
KASUMI-2
MFE-319
KP-N-RT-BM-1
KP-N-YN
Loucy
M-07e
JVM-2
KE-37
JURL-MK1
KLE
KMRC-2
KARPAS-422
MDST8
LC-1F
MES-SA
KMRC-20
MDA-MB-157
KYM-1
KPL-1
LU99
L-428
KMRC-1
KMS-28BM
K029AX
KP-N-SI9s
KU-19-19
KG-1
MDA-MB-231
MDA_PCa_2b
MEL-JUSO
L-1236
LNCaP_clone_FGC
MDA-MB-361
MDA-MB-134-VI
JIMT-1
KYO-1
JL-1
KM-H2
L-540
LCLC-97TM1
KMRC-3
Kasumi-6
LMSU
KYSE-270
Ki-JK
LXF-289
ME-1
KCL-22
KMM-1
KYSE-140
KMS-27
Li-7
KYSE-520
KU812
JHOM-2B
JHUEM-3
MC116
KMBC-2
Malme-3M
LCLC-103H
